name,city,state,website,vertical,source_strategy,source_url,evidence,date_added
Belly of the Beast,Spring,TX,,restaurants,press_awards_recent_momentum,https://cordeliacle.com/press/here-are-the-2024-james-beard-awards-restaurant-and-chef-semifinalists,Chef Thomas Bille was a 2024 James Beard Best Chef: Texas semifinalist for this chef-driven destination restaurant,2026-06-12
Canje,Austin,TX,,restaurants,press_awards_recent_momentum,https://cordeliacle.com/press/here-are-the-2024-james-beard-awards-restaurant-and-chef-semifinalists,Tavel Bristol-Joseph was a 2024 James Beard Best Chef: Texas semifinalist for this Caribbean destination restaurant,2026-06-12
Squable,Houston,TX,,restaurants,press_awards_recent_momentum,https://cordeliacle.com/press/here-are-the-2024-james-beard-awards-restaurant-and-chef-semifinalists,Mark Clayton was a 2024 James Beard Best Chef: Texas semifinalist for this European-leaning neighborhood restaurant,2026-06-12
Cullum's Attaboy,San Antonio,TX,,restaurants,press_awards_recent_momentum,https://cordeliacle.com/press/here-are-the-2024-james-beard-awards-restaurant-and-chef-semifinalists,Christopher Cullum was a 2024 James Beard Best Chef: Texas semifinalist,2026-06-12
Best Quality Daughter,San Antonio,TX,,restaurants,press_awards_recent_momentum,https://cordeliacle.com/press/here-are-the-2024-james-beard-awards-restaurant-and-chef-semifinalists,Jennifer Hwa Dobbertin was a 2024 James Beard Best Chef: Texas semifinalist for this Asian-American full-service restaurant,2026-06-12
Birdie's,Austin,TX,,restaurants,press_awards_recent_momentum,https://cordeliacle.com/press/here-are-the-2024-james-beard-awards-restaurant-and-chef-semifinalists,Tracy Malechek-Ezekiel was a 2024 James Beard Best Chef: Texas semifinalist; wine-focused chef-driven restaurant,2026-06-12
Elemi,El Paso,TX,,restaurants,press_awards_recent_momentum,https://cordeliacle.com/press/here-are-the-2024-james-beard-awards-restaurant-and-chef-semifinalists,Emiliano Marentes was a 2024 James Beard Best Chef: Texas semifinalist for masa-driven Mexican cooking,2026-06-12
Petra & the Beast,Dallas,TX,,restaurants,press_awards_recent_momentum,https://cordeliacle.com/press/here-are-the-2024-james-beard-awards-restaurant-and-chef-semifinalists,Misti Norris was a 2024 James Beard Best Chef: Texas semifinalist for fermentation-driven tasting menus,2026-06-12
Suerte,Austin,TX,,restaurants,press_awards_recent_momentum,https://cordeliacle.com/press/here-are-the-2024-james-beard-awards-restaurant-and-chef-semifinalists,Fermín Nuñez was a 2024 James Beard Best Chef: Texas semifinalist for this masa-focused Mexican restaurant,2026-06-12
José,Dallas,TX,,restaurants,press_awards_recent_momentum,https://cordeliacle.com/press/here-are-the-2024-james-beard-awards-restaurant-and-chef-semifinalists,Anastacia Quiñones-Pittman was a 2024 James Beard Best Chef: Texas semifinalist for this upscale Mexican restaurant,2026-06-12
The Heritage Table,Frisco,TX,,restaurants,press_awards_recent_momentum,https://cordeliacle.com/press/here-are-the-2024-james-beard-awards-restaurant-and-chef-semifinalists,Rich Vana was a 2024 James Beard Best Chef: Texas semifinalist for this farm-to-table restaurant,2026-06-12
Cochineal,Marfa,TX,,restaurants,small_market_local_dominance,https://cordeliacle.com/press/here-are-the-2024-james-beard-awards-restaurant-and-chef-semifinalists,Alexandra Gates was a 2024 James Beard Best Chef: Texas semifinalist; destination fine dining in Marfa,2026-06-12
Poltergeist,Los Angeles,CA,,restaurants,press_awards_recent_momentum,https://cordeliacle.com/press/here-are-the-2024-james-beard-awards-restaurant-and-chef-semifinalists,Diego Argoti was a 2024 James Beard Best Chef: California semifinalist for this chef-driven LA restaurant,2026-06-12
Azalina's,San Francisco,CA,,restaurants,press_awards_recent_momentum,https://cordeliacle.com/press/here-are-the-2024-james-beard-awards-restaurant-and-chef-semifinalists,Azalina Eusope was a 2024 James Beard Best Chef: California semifinalist for Malaysian fine dining,2026-06-12
Auro,Calistoga,CA,,restaurants,small_market_local_dominance,https://cordeliacle.com/press/here-are-the-2024-james-beard-awards-restaurant-and-chef-semifinalists,Rogelio Garcia was a 2024 James Beard Best Chef: California semifinalist for this Michelin-starred Napa Valley tasting-menu restaurant,2026-06-12
Ammatoli,Long Beach,CA,,restaurants,press_awards_recent_momentum,https://cordeliacle.com/press/here-are-the-2024-james-beard-awards-restaurant-and-chef-semifinalists,Dima Habibeh was a 2024 James Beard Best Chef: California semifinalist for Levantine Middle Eastern cuisine,2026-06-12
San Ho Won,San Francisco,CA,,restaurants,press_awards_recent_momentum,https://cordeliacle.com/press/here-are-the-2024-james-beard-awards-restaurant-and-chef-semifinalists,Jeong-In Hwang was a 2024 James Beard Best Chef: California semifinalist for this Korean barbecue destination restaurant,2026-06-12
Perilla,Los Angeles,CA,,restaurants,press_awards_recent_momentum,https://cordeliacle.com/press/here-are-the-2024-james-beard-awards-restaurant-and-chef-semifinalists,Jihee Kim was a 2024 James Beard Best Chef: California semifinalist for Korean cooking,2026-06-12
Dalida,San Francisco,CA,,restaurants,press_awards_recent_momentum,https://cordeliacle.com/press/here-are-the-2024-james-beard-awards-restaurant-and-chef-semifinalists,Laura and Sayat Ozyilmaz were 2024 James Beard Best Chef: California semifinalists for this eastern-Mediterranean restaurant,2026-06-12
La Parolaccia,Long Beach,CA,,restaurants,press_awards_recent_momentum,https://cordeliacle.com/press/here-are-the-2024-james-beard-awards-restaurant-and-chef-semifinalists,Michael and Stefano Procaccini were 2024 James Beard Best Chef: California semifinalists for this Italian osteria,2026-06-12
My 2 Cents,Los Angeles,CA,,restaurants,press_awards_recent_momentum,https://cordeliacle.com/press/here-are-the-2024-james-beard-awards-restaurant-and-chef-semifinalists,Alisa Reynolds was a 2024 James Beard Best Chef: California semifinalist for soulful American cooking,2026-06-12
