name,city,state,website,vertical,source_strategy,source_url,evidence,date_added
Night Moves Bread,South Portland,ME,,bakeries,press_awards_recent_momentum,https://www.mainepublic.org/business-and-economy/2026-01-24/7-maine-bakers-chefs-and-restauranteurs-semifinalists-for-2026-james-beard-awards,2026 James Beard Outstanding Bakery semifinalist; naturally leavened bread bakery,2026-06-12
Born & Bread Bakehouse,Lakeland,FL,,bakeries,press_awards_recent_momentum,https://www.wtsp.com/article/life/food/james-beard-awards-semifinalists-2026-tampa-chefs-restaurants-bakery/67-38cf65ab-8627-494f-a091-19f809733eb8,Named 2026 James Beard Outstanding Bakery semifinalist,2026-06-12
Cafe Dear Leon,Baltimore,MD,,bakeries,press_awards_recent_momentum,https://www.thebanner.com/culture/food-drink/james-beard-semifinalists-baltimore-FTRNKHEQHJGAZN4D7RLZVIUV2I/,2026 James Beard Outstanding Bakery semifinalist (Canton Baltimore),2026-06-12
Wild Crumb,Bozeman,MT,,bakeries,press_awards_recent_momentum,https://www.myfoxzone.com/article/news/nation-world/james-beard-semifinalists-list-2026/507-c58835cc-5376-4b50-862f-ce81837d9aa0,2026 James Beard Outstanding Bakery semifinalist,2026-06-12
The Burque Bakehouse,Albuquerque,NM,,bakeries,press_awards_recent_momentum,https://www.myfoxzone.com/article/news/nation-world/james-beard-semifinalists-list-2026/507-c58835cc-5376-4b50-862f-ce81837d9aa0,2026 James Beard Outstanding Bakery semifinalist,2026-06-12
Fire Island Rustic Bakeshop,Anchorage,AK,,bakeries,press_awards_recent_momentum,https://www.myfoxzone.com/article/news/nation-world/james-beard-semifinalists-list-2026/507-c58835cc-5376-4b50-862f-ce81837d9aa0,2026 James Beard Outstanding Bakery semifinalist,2026-06-12
Mercado Sin Nombre,Austin,TX,,bakeries,press_awards_recent_momentum,https://www.axios.com/local/austin/2026/01/22/james-beard-announces-semifinalists,2026 James Beard Outstanding Bakery semifinalist,2026-06-12
Breadshop,Honolulu,HI,,bakeries,press_awards_recent_momentum,https://crafttocrumb.com/james-beard-awards-names-2024-semifinalists/,Repeat James Beard Outstanding Bakery semifinalist (2024; also shortlisted 2023),2026-06-12
La Casita Bakeshop,Richardson,TX,,bakeries,press_awards_recent_momentum,https://crafttocrumb.com/james-beard-awards-names-2024-semifinalists/,Repeat James Beard Outstanding Bakery semifinalist (2024),2026-06-12
Zak the Baker,Miami,FL,,bakeries,press_awards_recent_momentum,https://crafttocrumb.com/james-beard-awards-names-2024-semifinalists/,Repeat James Beard Outstanding Bakery semifinalist (2024); kosher sourdough bakery,2026-06-12
