name,city,state,website,vertical,source_strategy,source_url,evidence,date_added
Gaston's Bakery,Boise,ID,https://gastonsbakery.com/,bakeries,state_sweep_best_of,https://gastonsbakery.com/,"Locally owned Boise Bench bakery offering fresh artisan breads and sourdough, milling its own flour from Idaho and Montana wheat",2026-06-12
Zeppole Baking Co.,Boise,ID,https://www.zeppolebakery.com/,bakeries,state_sweep_best_of,https://www.zeppolebakery.com/,"Handcrafted old-world breads for the Treasure Valley since 1993 with a 28-year-old sourdough starter",2026-06-12
Hearthbread Bakehouse,Spokane,WA,,bakeries,best_of_city_list,https://www.yelp.com/search?find_desc=Sourdough+Bread&find_loc=Spokane%2C+WA,"Ranked among the top sourdough bread bakeries in Spokane",2026-06-12
Boulevard Bread Company,Little Rock,AR,,bakeries,best_of_city_list,https://littlerockfoodie.com/the-definitive-little-rock-baked-goods-guide/,"European-style bakery renowned for artisan breads — fresh ciabatta and sourdoughs with locally sourced ingredients",2026-06-12
Old Mill Bread Bakery & Cafe,Little Rock,AR,,bakeries,best_of_city_list,https://www.allamericanatlas.com/bakeries-in-little-rock-arkansas/,"Beloved Little Rock bread bakery since 1992 with loaves baked fresh every morning including classic sourdough",2026-06-12
Serenity Farm Bread,Leslie,AR,,bakeries,small_market_local_dominance,https://arkansasgrown.org/listing/serenity-farm-bread/,"Long-running sourdough bread bakery dominating tiny Leslie AR, listed by Arkansas Grown",2026-06-12
On the Rise Bread Co.,Bozeman,MT,https://www.ontherisebread.co/,bakeries,state_sweep_best_of,https://www.ontherisebread.co/,"Retail artisan bakery baking sourdough bread and pastries since 1997, billed as Bozeman's best sourdough",2026-06-12
Fabers Bakery & Deli,Bozeman,MT,,bakeries,state_sweep_best_of,https://wanderlog.com/list/geoCategory/442764/best-bakeries-in-bozeman,"Bozeman bakery with a rotating bread selection of sourdough, ciabatta and baguettes",2026-06-12
Le Fournil,Billings,MT,,bakeries,press_awards_recent_momentum,https://z100missoula.com/le-fournil-bakery-montana/,"French artisan bread bakery named to Food & Wine's 100 Best Bakeries in America",2026-06-12
Golden Crown Panaderia,Albuquerque,NM,,bakeries,press_awards_recent_momentum,https://newmexico.tablemagazine.com/blog/bakeries-albuquerque/,"Old Town bread institution since 1972 famous for green chile bread, named to Food & Wine's Top 100 Bakeries list",2026-06-12
Birmingham Breadworks,Birmingham,AL,https://birminghambreadworks.com/,bakeries,best_of_city_list,https://birminghambreadworks.com/,"Anchors Birmingham's artisan bread movement with daily small-batch long-fermented sourdoughs",2026-06-12
Flour Head Bakery,Knoxville,TN,,bakeries,best_of_city_list,https://www.visitknoxville.com/blog/post/where-to-find-sourdough-bread-in-knoxville/,"Locally owned artisan bakery making Knoxville Sourdough, baguettes and brioche with unbleached unbromated flours",2026-06-12
Sovereign Sourdough,Knoxville,TN,,bakeries,best_of_city_list,https://www.visitknoxville.com/blog/post/where-to-find-sourdough-bread-in-knoxville/,"South Knoxville staple for handcrafted small-batch natural sourdough, focaccia and English muffins",2026-06-12
Niedlov's Bakery & Cafe,Chattanooga,TN,,bakeries,best_of_city_list,https://exploringchatt.com/bakeries-for-bread-in-chattanooga/,"Chattanooga's busy bread-first bakery making everything from scratch since 2002",2026-06-12
EVO Craft Bakery,North Charleston,SC,,bakeries,best_of_city_list,https://charlestonmag.com/features/bread_winners_here_s_where_to_find_the_best_crusty_baguettes_hearty_loaves_and_tangy,"European-style craft bakery with baguettes, bâtards and boules available daily, cited in Charleston Magazine's Bread Winners",2026-06-12
Rise Bakery,Greenville,SC,,bakeries,best_of_city_list,https://kiddingaroundgreenville.com/buy-fresh-bread,"West Greenville artisan bakery known for freshly baked sourdough loaves and croissants",2026-06-12
Gulf Coast Sourdough,Tampa,FL,http://www.gulfcoastsourdough.com/,bakeries,best_of_city_list,http://www.gulfcoastsourdough.com/,"Artisan sourdough bakery founded 2015 with a Seminole Heights storefront",2026-06-12
Community Loaves,Jacksonville,FL,,bakeries,best_of_city_list,https://bluewaterhealthyliving.com/news/national-news/florida/best-artisan-bread-in-jacksonville-here-are-4-must-visit-bakeries/,"Named a must-visit Jacksonville artisan bread bakery for long-fermentation sourdough with freshly milled grains",2026-06-12
St. Gabriel Bakery,Jacksonville,FL,,bakeries,best_of_city_list,https://bluewaterhealthyliving.com/news/national-news/florida/best-artisan-bread-in-jacksonville-here-are-4-must-visit-bakeries/,"Family-run traditional artisanal bakeshop opened 2024 turning out 40+ varieties of scratch-made breads",2026-06-12
Up All Night Bakery,Richmond,VA,,bakeries,wood_fired_bread,https://rictoday.6amcity.com/culture/fresh-bread-bakeries-richmond-va,"Northside Richmond bread bakery where pastry chef Jonathan Highfield bakes loaves in a hand-built wood-fired oven",2026-06-12
Anicca Bakery,Albany,NY,,bakeries,best_of_city_list,https://www.yelp.com/search?find_desc=Sourdough+Bread&find_loc=Albany%2C+NY,"Named among the top sourdough bread bakeries in Albany",2026-06-12
The Placid Baker,Troy,NY,,bakeries,best_of_city_list,https://www.yelp.com/search?find_desc=Sourdough+Bread&find_loc=Albany%2C+NY,"Named among the top sourdough bread bakeries in the Albany capital region",2026-06-12
Bountiful Bread,Albany,NY,,bakeries,best_of_city_list,https://www.yelp.com/search?find_desc=Sourdough+Bread&find_loc=Albany%2C+NY,"Bread-first bakery named among the top sourdough options in Albany",2026-06-12
