name,city,state,website,vertical,source_strategy,source_url,evidence,date_added
Browne Trading Market,Portland,ME,https://www.brownetrading.com,cheese,best_of_city_list,https://visitmaine.com/things-to-do/dining-nightlife/gourmet-cheeses-maine-made-cheeses,Listed among Portland ME gourmet purveyors with a cut-to-order specialty cheese counter alongside seafood and fine foods.,2026-06-16
Life Love Cheese,Manchester,NH,,cheese,state_sweep,"https://www.yelp.com/search?cflt=cheese&find_loc=Manchester,+NH",Cited among the best cheese shops in New Hampshire as an independent cheesemonger.,2026-06-16
Angela's Pasta & Cheese Shop,Manchester,NH,https://www.angelaspastaandcheese.com,cheese,state_sweep,"https://www.yelp.com/search?cflt=cheese&find_loc=Manchester,+NH",Long-running NH specialty shop with a curated cut-to-order cheese counter and imported pastas.,2026-06-16
Edgewood Cheese Shop and Eatery,Cranston,RI,,cheese,state_sweep,https://patch.com/rhode-island/cranston/edgewood-cheese-shop-named-best-ri,Named best cheese shop in Rhode Island in Taste of Home's national ranking.,2026-06-16
Wickford Cheese & Sundry,North Kingstown,RI,,cheese,state_sweep,https://www.bostonglobe.com/2023/05/09/metro/where-buy-cheese-rhode-island/,Listed among Rhode Island cheese purveyors as an independent cut-to-order shop.,2026-06-16
Bon Appetit,Hamden,CT,,cheese,state_sweep,https://www.cheeseprofessor.com/blog/connecticut-cheese-shops,"50+ year CT gourmet/cheese shop that added ~5,000 sq ft of cheese aging space in 2015.",2026-06-16
Caseus Provisions,New Haven,CT,,cheese,state_sweep,https://www.ctbites.com/blog/2026/2/12/guide-to-the-best-cheesemongers-in-connecticut,Opened 2023 carrying 30+ cheeses from around the world with grilled cheese bar and charcuterie.,2026-06-16
The Cheese Corner,Hartford,CT,,cheese,state_sweep,https://www.yelp.com/search?cflt=cheese&find_loc=Hartford%2C+CT,Listed among Hartford-area independent cheese shops.,2026-06-16
Sardilli Produce & Dairy,Hartford,CT,,cheese,state_sweep,https://www.yelp.com/search?cflt=cheese&find_loc=Hartford%2C+CT,Hartford specialty dairy and cheese purveyor cited among CT's best cheese sources.,2026-06-16
Cherry Street Cheese and Provisions,New Canaan,CT,,cheese,state_sweep,https://www.ctbites.com/blog/2026/2/12/guide-to-the-best-cheesemongers-in-connecticut,"Husband-and-wife-run New Canaan shop offering curated cheeses, charcuterie, sandwiches and catering.",2026-06-16
