name,city,website
Nadu,Chicago,naduchicago.com
Nic & Junior's,Chicago,nicandjuniors.com
Mi Tocaya Antojeria,Chicago,
Rose Mary,Chicago,rosemarychicago.com
Monteverde,Chicago,monteverdechicago.com
HaiSous,Chicago,haisous.com
Santa Masa Tamaleria,Chicago,santamasa.com
Cariño,Chicago,carinochicago.com
Maxwells Trading,Chicago,maxwellstrading.com
SHO,Chicago,sho-chicago.com
Sanders BBQ Supply Co.,Chicago,sandersbbqsupply.com
Mirra,Chicago,mirrachicago.com
Feld,Chicago,feldrestaurant.com
Galit,Chicago,galitrestaurant.com
Mariscos San Pedro,Chicago,mariscossanpedro.com
Oriole,Chicago,oriolechicago.com
Kasama,Chicago,kasamachicago.com
Smyth,Chicago,smythchicago.com
Kyoten Next Door,Chicago,kyotenchicago.com
Dimmi Dimmi,Chicago,dimmidimmiitalian.com
Virtue,Chicago,virtuerestaurant.com
Alinea,Chicago,alinearestaurant.com
Echelon Kitchen & Bar,Ann Arbor,echelonkitchenandbar.com
BARDA,Detroit,bardadetroit.com
Modern Bird,Traverse City,modernbirdtc.com
PostBoy,New Buffalo,postboynb.com
Ladder 4 Wine Bar,Detroit,ladder4winebar.com
Anjin,Kansas City,anjinkc.com
The Town Company,Kansas City,hotelkc.com/dine/the-town-company
Of Course Kitchen & Company,Overland Park,ofcoursekc.com
Sado,St. Louis,sado-stl.com
Pavilion on the Hill,St. Louis,
Root Food + Wine,Augusta,rootfoodwine.com
El Molino del Sureste,St. Louis,
MAINLANDER,St. Louis,mainlanderstl.com
Vicia,St. Louis,takeroothospitality.com/vicia
Hugo's,Houston,hugosrestaurant.net
Xochi,Houston,xochihouston.com
Katami,Houston,katamihouston.com
Milton's,Houston,miltonandlees.com
Jun,Houston,junbykin.com
Camaraderie,Houston,camaraderiehtx.com
Far-Out,Dallas,faroutdallas.com
Mixtli,San Antonio,restaurantmixtli.com
The Magpie,San Antonio,magpie.us
Naco Mexican,San Antonio,nacomexican.com
Purepecha,Dallas,
Dona Maria,Irving,
Smoke'N Ash BBQ,Arlington,smokenashbbq.net
Tatemo,Houston,tatemohtx.com
Isidore,San Antonio,isidoresatx.com
Mamani,Dallas,mamanirestaurant.com
Nicosi,San Antonio,nicosisatx.com
Credence,Houston,
Annam,Houston,annamhouston.com
Da Gama Canteen,Houston,dagamahtx.com
Maximo,Houston,maximo-htx.com
Mercado Sin Nombre,Austin,mercadosinnombre.com
Mezquite,San Antonio,mezquitesatx.com
Perseid,Houston,
Lenoir,Austin,lenoirrestaurant.com
East End Ballroom,Austin,eastendballroom.com
VanHorn's,Austin,vanhornsatx.com
Eldorado Cafe,Austin,eldoradocafeatx.com
The Four Horsemen,Brooklyn,fourhorsemenbk.com
Via Carota,New York,viacarota.com
Gabriel Kreuther,New York,gknyc.com
Hav & Mar,New York,havandmar.com
Essential by Christophe,New York,essentialbychristophe.com
Ha's Snack Bar,New York,
Corima,New York,corimanyc.com
Gramercy Tavern,New York,gramercytavern.com
Casa Susanna,Leeds,camptowncatskills.com/casa-susanna
Deer Mountain Inn,Tannersville,deermountaininn.com
Bungalow,New York,bungalowny.com
Meju,Long Island City,mejunyc.com
Tourmaline,New York,tourmalinenyc.com
Chalong,New York,chalongnyc.com
Shota Omakase,Brooklyn,shotaomakase.com
Huso,New York,husony.com
Le B,New York,lebnyc.com
Shukette,New York,shukette.org
Claud,New York,claudnyc.com
Ilis,Brooklyn,ilisnyc.com
Rolo's,Ridgewood,rolosnyc.com
Rezdora,New York,rezdora.nyc
Frenchette,New York,frenchettenyc.com
Le Veau d'Or,New York,lvdnyc.com
Sofreh,Brooklyn,sofrehnyc.com
Dept of Culture,Brooklyn,deptofculturebk.com
Francie,Brooklyn,franciebrooklyn.com
Lola's,New York,lolasnyc.com
Stissing House,Pine Plains,stissinghouse.com
Southern Junction,Buffalo,southernjunction716.com
Koloman,New York,kolomanrestaurant.com
Ichimura,New York,sushiichimura.nyc
Oiji Mi,New York,oijimi.com
Kono,New York,yakitorikono.com
Semma,New York,semma.nyc
Tatiana,New York,tatiananyc.com
Ci Siamo,New York,cisiamo.com
Lingo,Brooklyn,lingobk.com
Kabawa,New York,momofuku.com/restaurants/kabawa
Lei,New York,leiwine.nyc
Bridges,New York,bridges-nyc.com
Muku,New York,restaurantmuku.nyc
Yamada,New York,yamadanewyork.com
Banh Anh Em,New York,
Laliko,New York,laliko.com
Noreetuh,New York,noreetuh.com
Sal Tang's,New York,saltangs.com
Yemenat,New York,yemenat.rest
Sushi Sho,New York,
Joo Ok,New York,joo-ok.com
Rao's,New York,raossince1896.com
The Corner Store,New York,thecornerstoresoho.com
Lilia,Brooklyn,lilianewyork.com
La Vara,Brooklyn,lavarany.com
Hanoi House,New York,hanoihousenyc.com
n/naka,Los Angeles,n-naka.com
