name,city,state,website,vertical,source_strategy,source_url,evidence,date_added
The Vintage Wine Shoppe,Birmingham,AL,https://www.vintagewineshoppe.net/,wine,best_of_city_list,https://www.ratingspider.com/best-wine-shop/top-10-wine-shops-birmingham/,"Independent shop established 1997, ranked among the best wine stores in Birmingham with a comprehensive global selection.",2026-06-12
Classic Wine Company,Homewood,AL,https://classicwineco.com/,wine,small_market_local_dominance,https://classicwineco.com/,"Outstanding wine store and bar in downtown Homewood since 1988, founded to bring rarer wines to Birmingham.",2026-06-12
Church Street Wine Shoppe,Huntsville,AL,,wine,best_of_city_list,https://www.ratingspider.com/best-wine-shop/top-10-wine-shops-birmingham/,"Named among the top-rated independent wine shops in Huntsville with knowledgeable staff and a welcoming atmosphere.",2026-06-12
Domaine South,Huntsville,AL,,wine,best_of_city_list,https://www.yelp.com/search?find_desc=Wine+Store&find_loc=Huntsville,+AL,"Cited among Huntsville's top independent wine stores known for curated selection and knowledgeable staff.",2026-06-12
AK Wine Grotto,Anchorage,AK,https://www.akwinegrotto.com/,wine,small_market_local_dominance,https://www.akwinegrotto.com/,"Independent Anchorage wine shop featuring new and exclusive wines every month.",2026-06-12
Anchorage Wine House,Anchorage,AK,https://anchoragewinehouse.com/,wine,small_market_local_dominance,https://www.jancisrobinson.com/articles/anchorage-wine-drinkers,"Jancis Robinson highlights this retail shop's classic-wine selection and a wine buyer who knows his stuff, with focus on California and Pacific Northwest.",2026-06-12
Crush Wine Bistro & Cellar,Anchorage,AK,https://www.crushak.com/,wine,small_market_local_dominance,https://www.alaska.org/detail/crush-wine-bar-shop,"Bistro with an attached retail bottle shop and a cellar of some 600 bottles - explicit wine-bar/retail-shop hybrid.",2026-06-12
Grapevine Wines & Spirits,Little Rock,AR,,wine,best_of_city_list,https://www.ratingspider.com/best-wine-shop/top-10-stores-little-rock/,"Independent shop open since 1994 whose owner Jonathan Looney is a Certified Sommelier; ranked among Little Rock's best wine stores.",2026-06-12
Harry's Wine & Liquor Market,Fairfield,CT,https://www.harryswine.com/,wine,affluent_convenience_gap,https://www.harryswine.com/,"Third-generation family wine market in Fairfield CT, focused on unparalleled service since 1941.",2026-06-12
Swigg,Wilmington,DE,https://www.swiggwine.com/,wine,best_of_city_list,https://www.swiggwine.com/,"Curated bottle shop highlighting wines, beers and spirits of independent producers and importers.",2026-06-12
Ward's Fine Wines,Wilmington,DE,,wine,best_of_city_list,https://delawaretoday.com/uncategorized/wine-deals-at-delaware-stores/,"Trolley Square shop carrying wines from small vineyards with personalized service, per Delaware Today.",2026-06-12
Veritas,Wilmington,DE,,wine,best_of_city_list,https://delawaretoday.com/uncategorized/wine-deals-at-delaware-stores/,"Riverfront wine shop pioneer where owner Venu Gaddamid carefully picks every offering, per Delaware Today.",2026-06-12
Bin 66 Fine Wine & Spirits,Rehoboth Beach,DE,,wine,small_market_local_dominance,https://delawaretoday.com/uncategorized/franks-wine-teller-wines-krestons-liquor-mart-and-bin-66-best-wine-store/,"Named in Delaware Today's Best Wine Store roundup; independent fine-wine shop in resort-town Rehoboth Beach.",2026-06-12
Frank's Wine,Wilmington,DE,,wine,press_awards_recent_momentum,https://delawaretoday.com/uncategorized/franks-wine-teller-wines-krestons-liquor-mart-and-bin-66-best-wine-store/,"Named in Delaware Today's Best Wine Store roundup of independent Delaware wine shops.",2026-06-12
Teller Wines,Lewes,DE,,wine,press_awards_recent_momentum,https://delawaretoday.com/uncategorized/franks-wine-teller-wines-krestons-liquor-mart-and-bin-66-best-wine-store/,"Named in Delaware Today's Best Wine Store roundup; independent wine shop in the affluent beach town of Lewes.",2026-06-12
Hyde Park Fine Wines,Boise,ID,https://buywinenow.com/,wine,best_of_city_list,https://buywinenow.com/,"Highest-rated wine shop and bar in Boise, stocking a large inventory of rare, natural and fine wines.",2026-06-12
Eagle Wine Merchant,Eagle,ID,https://www.eaglewinemerchant.com/,wine,small_market_local_dominance,https://www.eaglewinemerchant.com/,"Bills itself as Idaho's premier wine shop, an independent retail merchant in the affluent Boise suburb of Eagle.",2026-06-12
City Center Wines,Boise,ID,,wine,best_of_city_list,https://dropt.beer/insights/uncorking-boise-your-guide-to-the-best-wine-shops-in-the-city-of-trees/,"Listed among the best independent wine shops in Boise in a local wine-shop guide.",2026-06-12
A New Vintage Wine Shop,Boise,ID,,wine,best_of_city_list,https://dropt.beer/insights/uncorking-boise-your-guide-to-the-best-wine-shops-in-the-city-of-trees/,"Named among Boise's top independent wine shops in a city wine-shop guide.",2026-06-12
