name,city,state,website,vertical,source_strategy,source_url,evidence,date_added
Moonflower Bakes,Austin,TX,https://www.moonflowerbakes.com/,bakeries,state_sweep_best_of,https://www.moonflowerbakes.com/,"Artisan sourdough with insanely crispy crust, called best sourdough in town",2026-06-16
Abby Jane Bakeshop,Austin,TX,https://abbyjanebakes.com/,bakeries,language_lane_naturally_leavened,https://abbyjanebakes.com/,Legendary sourdough and baguettes using 100% freshly milled Texas grains at Barton Springs Mill,2026-06-16
Comadre Panaderia,Austin,TX,,bakeries,state_sweep_best_of,https://www.theinfatuation.com/austin/guides/best-bakeries-austin,"Award-winning pan-Latinx bakery with savory sourdough croissants, brick-and-mortar room",2026-06-16
Artisana Bread,Houston,TX,,bakeries,state_sweep_best_of,https://houstonfoodfinder.com/foodfinds/houstons-best-bakeries-for-bread/,Small-batch artisan bakery renowned for organic sourdoughs using ancient wheat like einkorn and spelt,2026-06-16
La Panaderia,San Antonio,TX,,bakeries,language_lane_naturally_leavened,https://spotsanantonio.com/spots-for-sourdough-bread-in-san-antonio,Specializes in long-cultured bread with 48-hour fermentation; named a top artisanal bakery in North America,2026-06-16
Bear Bread Bakery,San Antonio,TX,https://bearbreadsa.com/,bakeries,state_sweep_best_of,https://bearbreadsa.com/,"Bakery specializing in freshly baked sourdough from a homemade SA starter, Dutch oven method",2026-06-16
Blue Gourmet,Dallas,TX,https://www.bluegourmetusa.com/,bakeries,state_sweep_best_of,https://www.bluegourmetusa.com/,Artisan bakery leavening dough with natural starters in Dallas,2026-06-16
Bella Cora Bakery,El Paso,TX,,bakeries,state_sweep_best_of,https://www.yopabakery.com/best-bakery-shops-el-paso-texas/,"French-inspired bakery with sourdough loaves dropping Thursdays, open since 2012",2026-06-16
Olive & Poppy Italian Bakery,El Paso,TX,,bakeries,state_sweep_best_of,https://www.yopabakery.com/best-bakery-shops-el-paso-texas/,El Paso's pioneering Italian bakery offering artisan baked goods with a storefront,2026-06-16
The Black Rooster Bakery,Fort Worth,TX,,bakeries,state_sweep_best_of,https://www.papercitymag.com/restaurants/best-bakeries-in-fort-worth-pie-cakes/,Consistently ranked among the top sourdough bread bakeries in Fort Worth,2026-06-16
Semitas La Mera Yema,Miami,FL,https://semitaslamerayema.com/sourdough-bread-miami/,bakeries,state_sweep_best_of,https://semitaslamerayema.com/sourdough-bread-miami/,"Identified as Miami's fresh artisan sourdough, a favorite among locals",2026-06-16
Osono Bread,Miami,FL,https://www.osonobread.com/,bakeries,language_lane_naturally_leavened,https://www.osonobread.com/,Miami artisan bakery known for naturally leavened sourdough breads and pastries,2026-06-16
Nonna's Bread,Tampa,FL,https://nonnasbread.com/,bakeries,state_sweep_best_of,https://nonnasbread.com/,"Tampa's top artisan bakery, traditional sourdough and rye, long fermentation no yeast or sugar",2026-06-16
Sassypants Sourdough,Tampa,FL,https://www.sassypantssourdough.com/,bakeries,state_sweep_best_of,https://www.sassypantssourdough.com/,Veteran-owned craft bakery specializing in individual-batch organic sourdough loaves,2026-06-16
Tampa Sourdough Co.,Tampa,FL,https://tampasourdoughco.com/,bakeries,state_sweep_best_of,https://tampasourdoughco.com/,German-influenced bakery making old-world sourdough boules,2026-06-16
Olde Hearth Bread Company,Orlando,FL,,bakeries,state_sweep_best_of,https://tastychomps.com/2025/03/inside-look-sourdough-breadhouse-in-casselberry.html,Orlando's original artisan bakery serving natural fresh-baked breads,2026-06-16
Jax Bread Co.,Jacksonville,FL,https://www.jaxbread.com/,bakeries,state_sweep_best_of,https://www.jaxbread.com/about,Traditional artisan bread bakery making French-style sourdoughs from a 14-year-old levain starter,2026-06-16
The French Pantry,Jacksonville,FL,,bakeries,state_sweep_best_of,https://www.aol.com/articles/best-artisan-bread-jacksonville-4-101517611.html,Listed among Jacksonville's must-visit artisan bread bakeries,2026-06-16
1748 Bakehouse,Jacksonville,FL,,bakeries,state_sweep_best_of,https://www.aol.com/articles/best-artisan-bread-jacksonville-4-101517611.html,Notable Jacksonville sourdough bread bakery among the best,2026-06-16
Bread Bandits,Sarasota,FL,,bakeries,state_sweep_best_of,https://www.sarasotamagazine.com/eat-and-drink/2023/11/best-bakeries-sarasota,Artisan loaves with natural starters and long fermentation; owner is a sixth-generation baker,2026-06-16
The Bakero,Sarasota,FL,https://thebakero.com/,bakeries,state_sweep_best_of,https://thebakero.com/,"European-style bakery and cafe making real sourdough with four ingredients, no shortcuts",2026-06-16
Atria,Sarasota,FL,,bakeries,language_lane_naturally_leavened,https://www.sarasotamagazine.com/eat-and-drink/2023/11/best-bakeries-sarasota,"Makes sourdough loaf with freshly milled grain, milling its own flour on site",2026-06-16
Camelot Breads,Sarasota,FL,,bakeries,state_sweep_best_of,https://www.sarasotamagazine.com/eat-and-drink/2023/11/best-bakeries-sarasota,Family bakery creating bread from a sourdough starter with great texture,2026-06-16
Naples Sourdough Company,Naples,FL,https://naplessourdough.com/,bakeries,state_sweep_best_of,https://naplessourdough.com/,"Slow-fermented 48-hour sourdough, each loaf handcrafted with active starter",2026-06-16
Landert Bread,Naples,FL,,bakeries,state_sweep_best_of,https://naplesfloridarentals.com/blog/the-best-bread-in-naples-3-local-spots-worth-a-stop,"Crusty sourdough, protein, and multi-grain breads at a Naples storefront",2026-06-16
Sour & Dough Artisan Bakery,Fort Myers,FL,https://www.souranddoughbakery.com/,bakeries,state_sweep_best_of,https://www.souranddoughbakery.com/,French-styled artisan bakery serving sourdough crafted with traditional French techniques,2026-06-16
Bread Artist,Venice,FL,https://breadartist.com/,bakeries,language_lane_naturally_leavened,https://breadartist.com/,"Every loaf naturally leavened with wild yeast, shaped by hand",2026-06-16
Simply Bread,Satellite Beach,FL,https://www.simplybreadforyou.com/,bakeries,language_lane_naturally_leavened,https://www.simplybreadforyou.com/,"Naturally leavened bread fermented minimum 20 hours, baked in a stone-lined oven",2026-06-16
Lore Bakehouse,Orlando,FL,https://www.lorebakehouse.com/,bakeries,language_lane_naturally_leavened,https://www.lorebakehouse.com/,Florida artisan bread bakery shop featured among naturally leavened sourdough makers,2026-06-16
The Sourdough Stand,Columbus,OH,https://thesourdoughstand.com/,bakeries,state_sweep_best_of,https://thesourdoughstand.com/,Artisan sourdough using ancient and heirloom grains in Columbus,2026-06-16
Omega Artisan Baking,Columbus,OH,,bakeries,language_lane_naturally_leavened,https://columbusunderground.com/ohios-own-old-world-sensibilities-at-rush-creek-bread-ma1/,"Uses whole grains and fresh-milled wheat, handcrafts all breads free from preservatives",2026-06-16
Boujee Bread,Cleveland,OH,https://heavenlydelightsbakery.com/bakery-near-me/boujee-bread-handcrafted-sourdough/,bakeries,state_sweep_best_of,https://heavenlydelightsbakery.com/bakery-near-me/boujee-bread-handcrafted-sourdough/,Women-owned artisan bakery specializing in world-class sourdough and focaccia,2026-06-16
Atticus Bread Co.,Cincinnati,OH,https://www.atticusbreadco.com/,bakeries,state_sweep_best_of,https://www.atticusbreadco.com/,Cincinnati artisan bread bakery featured in local best bread bakeries coverage,2026-06-16
Em's Sourdough Bread,Cincinnati,OH,https://www.facebook.com/emsbread/,bakeries,state_sweep_best_of,https://www.cincinnatimagazine.com/features/three-of-the-best-local-bread-bakeries-in-town/,"Must-try sourdough at Findlay Market, bread baked fresh daily",2026-06-16
The Farm On Central,Dayton,OH,https://farmoncentral.com/sourdough-bakery/,bakeries,state_sweep_best_of,https://farmoncentral.com/sourdough-bakery/,Sourdough bakery serving the Dayton and Springboro area,2026-06-16
Boosalis Baking and Cafe,Dayton,OH,,bakeries,state_sweep_best_of,https://www.yelp.com/search?find_desc=Artisan+Bakery&find_loc=Dayton%2C+OH,Artisan bakery among the top Dayton-area sourdough and bread options,2026-06-16
Ochre Bakery,Detroit,MI,,bakeries,language_lane_naturally_leavened,https://everafterinthewoods.com/this-little-michigan-bakery-is-known-for-some-of-the-best-sourdough-around/,"Breads and pastries made with natural leavening, ranked best new restaurant by Bon Appetit",2026-06-16
Field & Fire,Grand Rapids,MI,,bakeries,state_sweep_best_of,https://wanderlog.com/place/details/1417010/field--fire,Beloved Grand Rapids bakery known for exceptional bread including Italian White and sourdough,2026-06-16
Schnitz Bakery,Grand Rapids,MI,https://wanderlog.com/place/details/4357314/schnitz-bakery,bakeries,state_sweep_best_of,https://wanderlog.com/place/details/4357314/schnitz-bakery,Grand Rapids bakery praised for fresh sliced sourdough bread,2026-06-16
Common Good Bakery,Traverse City,MI,https://www.commongoodbakery.com/,bakeries,state_sweep_best_of,https://www.commongoodbakery.com/,"Award-winning artisan bakery, signature sourdough 40% whole grain, 36-hour fermentation",2026-06-16
SAMAHA Bakery,Traverse City,MI,https://www.samahabakery.com/,bakeries,state_sweep_best_of,https://www.samahabakery.com/,Family-owned Northern Michigan artisan bakery creating exceptional sourdough breads,2026-06-16
Stone House Bread,Traverse City,MI,https://stonehousebread.com/,bakeries,state_sweep_best_of,https://stonehousebread.com/,"Known for legendary long-fermented sourdough, founded 1995, retail presence",2026-06-16
Rising Bread,Milwaukee,WI,https://www.risingbreadwi.com/bread-menu/,bakeries,language_lane_naturally_leavened,https://www.risingbreadwi.com/bread-menu/,"Naturally leavened, long-fermented sourdough with farm-fresh Wisconsin ingredients",2026-06-16
ORiGIN Breads,Madison,WI,https://www.originbreads.com/,bakeries,language_lane_naturally_leavened,https://www.originbreads.com/,Handcrafted long-fermented sourdough using 100% regionally grown stone-milled organic grains,2026-06-16
Muddy Fork Bakery,Bloomington,IN,https://muddyforkbakery.com/,bakeries,state_sweep_best_of,https://muddyforkbakery.com/,Indiana's only wood-fired brick-oven bakery making organic sourdough and whole-grain breads,2026-06-16
Bread & Bake,St. Louis,MO,https://www.breadandbake.com/,bakeries,language_lane_naturally_leavened,https://www.breadandbake.com/,"72-hour fermentation sourdough, just whole-grain flour water and salt, no shortcuts",2026-06-16
Leo's Bread,New Orleans,LA,https://wanderlog.com/place/details/3993673/leos-bread,bakeries,state_sweep_best_of,https://wanderlog.com/place/details/3993673/leos-bread,"Old-fashioned bakery specializing in artisan loaves, sourdough arguably the best in the city",2026-06-16
