name,city,state,website,vertical,source_strategy,source_url,evidence,date_added
Dirty Bacchus,Beacon,NY,https://www.dirtybacchus.com/,wine,press_awards_recent_momentum,https://punchdrink.com/articles/americas-best-specialty-wine-shops/,"Named to Punch's Best Specialty Wine Shops in America for its idiosyncratic natural wine collection spanning Lefkada, Quebec, Valais and the Loire.",2026-06-12
Domestique,Washington,DC,,wine,press_awards_recent_momentum,https://punchdrink.com/articles/americas-best-specialty-wine-shops/,Punch Best Specialty Wine Shops pick; all-natural-wine shop that stood out from its 2018 opening.,2026-06-12
Maine & Loire,Portland,ME,,wine,press_awards_recent_momentum,https://punchdrink.com/articles/americas-best-specialty-wine-shops/,Natural wine shop named among Punch's Best Specialty Wine Shops in America and Wine Enthusiast's best wine shops.,2026-06-12
Golden Age Wine,Mountain Brook,AL,,wine,press_awards_recent_momentum,https://www.wineenthusiast.com/culture/wine/best-american-wine-shops/,Wine Enthusiast pros' pick and Punch specialty-shop pick; shop/bar hybrid with sections for female winemakers and same-day delivery.,2026-06-12
The Cave DSM,Des Moines,IA,,wine,press_awards_recent_momentum,https://punchdrink.com/articles/americas-best-specialty-wine-shops/,Des Moines shop named among Punch's Best Specialty Wine Shops in America.,2026-06-12
Wild Child,Somerville,MA,,wine,press_awards_recent_momentum,https://punchdrink.com/articles/americas-best-specialty-wine-shops/,Somerville natural wine shop named among Punch's Best Specialty Wine Shops in America.,2026-06-12
Wine & Rocks,Yucca Valley,CA,,wine,small_market_local_dominance,https://punchdrink.com/articles/americas-best-specialty-wine-shops/,High-desert specialty shop named among Punch's Best Specialty Wine Shops in America.,2026-06-12
Chambers Street Wines,New York,NY,,wine,natural_wine_map,https://punchdrink.com/articles/best-natural-wine-bars-new-york-city-nyc/,"Punch calls it New York City's oldest and most influential natural wine shop, specializing in small artisanal Loire and Burgundy producers.",2026-06-12
Astor Wines & Spirits,New York,NY,,wine,best_of_city_list,https://www.chowhound.com/2103109/best-wine-shops-in-the-country/,"Greenwich Village independent staple since 1946 with 5,000+ wines and a temperature-controlled Cool Room, cited in national best-wine-shop coverage.",2026-06-12
The Wine House,Los Angeles,CA,,wine,best_of_city_list,https://www.chowhound.com/2103109/best-wine-shops-in-the-country/,"Independent LA shop with 6,000+ wines cited in national best-wine-shop roundups.",2026-06-12
Anfora Wine Merchants,Oak Park,IL,,wine,press_awards_recent_momentum,https://www.wineenthusiast.com/culture/wine/best-american-wine-shops/,"Specializes in indigenous Italian grape varieties with the largest Lazio collection outside Lazio, per national best-wine-shop coverage.",2026-06-12
The Boulder Wine Merchant,Boulder,CO,,wine,best_of_city_list,https://www.chowhound.com/2103109/best-wine-shops-in-the-country/,Master Sommelier-founded and MS-run (Brett Zimmerman) shop cited in national best-wine-shop coverage.,2026-06-12
MacArthur Beverages,Washington,DC,,wine,best_of_city_list,https://www.chowhound.com/2103109/best-wine-shops-in-the-country/,Generations-old DC wine resource repeatedly named Best Wine Shop in D.C. in national coverage.,2026-06-12
Grand Cata,Washington,DC,,wine,press_awards_recent_momentum,https://vinepair.com/articles/best-wine-shops-2018/,VinePair best-wine-shops pick; Latin American-focused selection since expanded to Old World regions.,2026-06-12
The Royce,Detroit,MI,,wine,press_awards_recent_momentum,https://vinepair.com/articles/best-wine-shops-2018/,"VinePair best-wine-shops pick; retail bottle shop (with bar/gastropub hybrid) stocking ~500 small-batch organic, biodynamic and low-intervention producers.",2026-06-12
Henry & Son,Minneapolis,MN,,wine,press_awards_recent_momentum,https://vinepair.com/articles/best-wine-shops-2018/,"VinePair best-wine-shops pick mixing traditional bottles with weird, obscure and wonderful wines.",2026-06-12
Bay Grape,Oakland,CA,,wine,press_awards_recent_momentum,https://imbibemagazine.com/best-wine-shops/,Featured in Imbibe's indie wine shop guide and VinePair's best shops; husband-and-wife-run shop with communal-table corkage culture.,2026-06-12
Liner & Elsen,Portland,OR,,wine,press_awards_recent_momentum,https://imbibemagazine.com/best-wine-shops/,Portland institution featured in Imbibe Magazine's guide to America's best indie wine shops.,2026-06-12
The Vineyard Wine Shop,Denver,CO,,wine,press_awards_recent_momentum,https://www.wineenthusiast.com/culture/travel/best-wine-shops-2023/,"Cherry Creek shop on Wine Enthusiast's Best Wine Shops in America 2023 list, with sommeliers matching wines to any budget.",2026-06-12
Paradis Books & Bread,North Miami,FL,,wine,press_awards_recent_momentum,https://www.wineenthusiast.com/culture/travel/best-wine-shops-2023/,Wine Enthusiast Best Wine Shops 2023 pick; wine retail plus cafe/books community hub in North Miami.,2026-06-12
Square Wine Company,Madison,WI,,wine,press_awards_recent_momentum,https://www.wineenthusiast.com/culture/wine/best-american-wine-shops/,Wine Enthusiast pros' pick; Andrea Hillsey curates small independent producers and hard-to-find gems.,2026-06-12
Cellar Masters,St. Petersburg,FL,,wine,press_awards_recent_momentum,https://www.wineenthusiast.com/culture/wine/best-american-wine-shops/,"Wine Enthusiast pros' pick specializing in well-priced minimal-intervention, mostly French wines.",2026-06-12
Happy Wine Calle Ocho,Miami,FL,,wine,press_awards_recent_momentum,https://www.wineenthusiast.com/culture/wine/best-american-wine-shops/,Wine Enthusiast pros' pick; retail shop with live music programming that makes wine fun and inclusive (shop/bar hybrid).,2026-06-12
FLG Terroir,Flagstaff,AZ,,wine,small_market_local_dominance,https://www.chowhound.com/2103109/best-wine-shops-in-the-country/,Chowhound 20-best-US pick with 500+ boutique labels and a Wine Spectator Best of Award of Excellence since 2018 (shop/bar hybrid).,2026-06-12
