name,city,state,website,vertical,source_strategy,source_url,evidence,date_added
Nadu,Chicago,IL,,restaurants,press_awards_recent_momentum,https://www.nbcchicago.com/news/local/see-the-chicago-semifinalists-for-the-2026-james-beard-awards/3879527/,"2026 James Beard Best New Restaurant semifinalist; also a 2025 Michelin Bib Gourmand for regional Indian cooking",2026-06-12
Nic & Junior's,Chicago,IL,,restaurants,press_awards_recent_momentum,https://www.nbcchicago.com/news/local/see-the-chicago-semifinalists-for-the-2026-james-beard-awards/3879527/,"2026 James Beard Best New Restaurant semifinalist",2026-06-12
Mi Tocaya Antojeria,Chicago,IL,,restaurants,press_awards_recent_momentum,https://www.wbez.org/food-drink/2026/01/21/james-beard-chicago-semifinalists-2026-food-restaurants-chef-awards-best,"Chef Diana Davila is a 2026 James Beard Outstanding Chef semifinalist for her Logan Square Mexican restaurant",2026-06-12
Rose Mary,Chicago,IL,,restaurants,press_awards_recent_momentum,https://www.wbez.org/food-drink/2026/01/21/james-beard-chicago-semifinalists-2026-food-restaurants-chef-awards-best,"Flagship of Day Off Group (Joe Flamm), 2026 James Beard Outstanding Restaurateur semifinalist",2026-06-12
Monteverde,Chicago,IL,,restaurants,press_awards_recent_momentum,https://chicago.suntimes.com/food-drink/2026/03/31/james-beard-award-finalists-2026-chicago-monteverde-carino-feld,"Chef Bailey Sullivan is a 2026 James Beard finalist (Best Emerging Chef) at this destination Italian pasta restaurant",2026-06-12
HaiSous,Chicago,IL,,restaurants,press_awards_recent_momentum,https://www.wbez.org/food-drink/2026/01/21/james-beard-chicago-semifinalists-2026-food-restaurants-chef-awards-best,"Chef Thai Dang is a 2026 James Beard Best Chef: Great Lakes semifinalist and a 2025 finalist for this Vietnamese restaurant",2026-06-12
Santa Masa Tamaleria,Chicago,IL,,restaurants,press_awards_recent_momentum,https://www.wbez.org/food-drink/2026/01/21/james-beard-chicago-semifinalists-2026-food-restaurants-chef-awards-best,"Chef Danny Espinoza is a 2026 James Beard Best Chef: Great Lakes semifinalist",2026-06-12
Cariño,Chicago,IL,,restaurants,press_awards_recent_momentum,https://chicago.suntimes.com/food-drink/2026/03/31/james-beard-award-finalists-2026-chicago-monteverde-carino-feld,"Chef Norman Fenton is a 2026 James Beard finalist; Cariño also made the NYT 2025 list of America's 50 best restaurants",2026-06-12
Maxwells Trading,Chicago,IL,,restaurants,press_awards_recent_momentum,https://www.wbez.org/food-drink/2026/01/21/james-beard-chicago-semifinalists-2026-food-restaurants-chef-awards-best,"Chefs Christopher Jung and Erling Wu-Bower are 2026 James Beard Best Chef: Great Lakes semifinalists and 2025 finalists",2026-06-12
SHO,Chicago,IL,,restaurants,press_awards_recent_momentum,https://www.wbez.org/food-drink/2026/01/21/james-beard-chicago-semifinalists-2026-food-restaurants-chef-awards-best,"Chefs Mari Katsumura and Adam Sindler are 2026 James Beard Best Chef: Great Lakes semifinalists",2026-06-12
