name,city,state,website,vertical,source_strategy,source_url,evidence,date_added
Grapefruit,Hudson,NY,,wine,natural_wine_map,https://www.chronogram.com/food-drink/natural-wine-shops-in-the-hudson-valley-11920168,"All-natural wine shop on Warren Street curated by wine director Belle Cushing with low/no-intervention reds, whites, skin-contact and sparkling",2026-06-16
Blacksmith Wines,Millerton,NY,,wine,natural_wine_map,https://www.chronogram.com/food-drink/natural-wine-shops-in-the-hudson-valley-11920168,"Dutchess County shop with ample orange, natural and Pet Nat wines plus Hudson Valley and NY State bottles",2026-06-16
Brunette,Kingston,NY,,wine,natural_wine_map,https://valleytable.com/natural-wines-are-making-a-splash-in-the-hudson-valley/,Waterfront-district Kingston shop opened 2015 with an outstanding minimal-intervention natural-wine program,2026-06-16
BackBar,Hudson,NY,,wine,natural_wine_map,https://valleytable.com/natural-wines-are-making-a-splash-in-the-hudson-valley/,Warren Street spot featuring a focused list of minimal-intervention wines,2026-06-16
Flowercup Wine,Cold Spring,NY,,wine,natural_wine_map,https://valleytable.com/natural-wines-are-making-a-splash-in-the-hudson-valley/,Cold Spring natural wine shop listed among Hudson Valley natural-wine destinations,2026-06-16
Old Port Wine and Cigars,Portland,ME,https://www.oldportwineandcigar.com/,wine,best_of_city_list,https://www.yelp.com/search?find_desc=Wine+Store&find_loc=Portland%2C+ME,"Largest independent wine retailer in Maine with bottles from California to Croatia, $6 to $600",2026-06-16
Bow Street Beverage,Portland,ME,https://bowstreetbeverage.com/,wine,best_of_city_list,https://bowstreetbeverage.com/wine/,Maine's best wine shop with a certified sommelier curating the wall and a growing natural wine section,2026-06-16
The Wine Press,Brookline,MA,,wine,best_of_city_list,https://www.yelp.com/search?find_desc=Wine+Store&find_loc=Boston%2C+MA,Specialty wine shop on Beacon St known for a carefully curated selection of wines with personalized recommendations,2026-06-16
Cambridge Vinopolis,Cambridge,MA,,wine,best_of_city_list,https://wanderlog.com/place/details/12512730/cambridge-vinopolis,"Cambridge wine shop with hand-picked collection from Spain, Portugal, Italy and Georgia",2026-06-16
Solar,Philadelphia,PA,,wine,natural_wine_map,https://www.phillymag.com/foobooz/natural-wine-philadelphia/,"Boutique bottle shop with one of the best natural wine lists in the city, affordable and rare selections",2026-06-16
Richmond Bottle Shop,Philadelphia,PA,,wine,natural_wine_map,https://www.inquirer.com/food/best-wine-stores-philadelphia-plcb-bottle-shops-20251210.html,Excellent bottle shop inside a Fishtown IGA with a robust natural and small-production wine section; Best of Philly winner,2026-06-16
ENO Fine Wines,Providence,RI,https://enofinewines.com/,wine,curated_small_grower,https://enofinewines.com/,"Neighborhood shop specializing in unique and natural wines, artisanal beers, specialty spirits and sake in downtown Providence",2026-06-16
Newport Wine Cellar,Newport,RI,https://www.newportwinecellar.com/,wine,curated_small_grower,https://www.newportwinecellar.com/,Boutique wine and gourmet shop with small-production fine wines from growers practicing natural techniques,2026-06-16
Bottles,Providence,RI,,wine,best_of_city_list,https://ediblerhody.ediblecommunities.com/drink/shopping-wine-rhode-island,Well-regarded Providence wine shop highlighted in Edible Rhody's guide to shopping for wine in Rhode Island,2026-06-16
The Wine Thief,New Haven,CT,https://www.thewinethief.com/,wine,best_of_city_list,https://www.thewinethief.com/,Carefully curated selection of quality wines with two locations in downtown New Haven and East Rock,2026-06-16
Continental Fine Wines,Greenwich,CT,https://continentalfinewines.com/,wine,curated_small_grower,https://continentalfinewines.com/,Greenwich tradition since 1963 where every bottle is handpicked by a Certified Sommelier with natural standouts and limited-production wines,2026-06-16
Putnam & Vine,Greenwich,CT,,wine,best_of_city_list,https://www.yelp.com/search?find_desc=Wine+Store&find_loc=Greenwich%2C+CT+06830,Among the top independent wine stores near Greenwich,2026-06-16
Val's Wines Spirits & Crafts,Stamford,CT,,wine,best_of_city_list,https://www.yelp.com/search?find_desc=Wine+Store&find_loc=Stamford%2C+CT,Listed among the top wine stores in Stamford,2026-06-16
Toast Wines by Taste,West Hartford,CT,https://www.toastwines.com/,wine,natural_wine_map,https://www.toastwines.com/,"Exotic and domestic wine shop emphasizing organic, sustainable, biodynamic and natural wines",2026-06-16
The Wise Old Dog,West Hartford,CT,https://thewiseolddog.com/,wine,curated_small_grower,https://thewiseolddog.com/,Boutique bottle shop in a restored 1950s gourmet grocery with carefully selected wines and a temperature-controlled fine wine room,2026-06-16
West Side Wines & Spirits,West Hartford,CT,https://www.westsidewines.com/,wine,natural_wine_map,https://www.westsidewines.com/,"West Hartford shop featuring natural wines (It's Only Natural, Wine of Course promotion)",2026-06-16
Amanti Vino,Morristown,NJ,,wine,existing_club_transition,https://www.themontclairgirl.com/wine-store-montclair-nj-amanti-vino/,"Award-winning shop with a huge focus on organic, biodynamic, naturally made wines and beer and wine clubs; second location",2026-06-16
The Natural Wine Shoppe,Asbury Park,NJ,,wine,natural_wine_map,https://njmonthly.com/articles/eat-drink/table-hopping/the-natural-wine-shoppe-dante-decicco/,Low-intervention wine sourced worldwide; goal to make natural wine accessible to as many people as possible; Asbury Park and Jersey City locations,2026-06-16
Neighbors Wine Shop,Jersey City,NJ,https://neighborswineshop.com/,wine,natural_wine_map,https://neighborswineshop.com/,"Home to natural wine, Pet-Nats, orange, organic, biodynamic and sulfite-free wine in NJ",2026-06-16
Riverview Wine Beer & Spirits,Jersey City,NJ,,wine,natural_wine_map,https://jerseycityupfront.com/riverview-wine-brings-natural-wine-to-jersey-city/,Natural wine shop in Jersey City Heights focused on supporting artisanal makers,2026-06-16
Elysian Wine and Spirits,Jersey City,NJ,,wine,curated_small_grower,https://www.hobokengirl.com/elysian-wine-spirits-jersey-city/,"Owned by the team behind Elysian Cafe, selling a curated selection of wine and spirits with offbeat selections; opened Jan 2024",2026-06-16
Refined Wines & Spirits,Jersey City,NJ,,wine,curated_small_grower,https://jerseydigs.com/refined-wines-jersey-city/,Curated collection of small-production wines and rare finds; wine lead previously at Bottle Rocket NYC; opened Oct 2025,2026-06-16
