name,city,state,website,vertical,source_strategy,source_url,evidence,date_added
Ariana Restaurant,Bend,OR,,restaurants,small_market_local_dominance,https://eatdrinkbend.com/fine-dining-in-bend-oregon/,French-inspired seasonal chef's tasting menu and Bend's fine-dining anchor for 18+ years with reservations opening at midnight 30 days out,2026-06-16
5 Fusion,Bend,OR,,restaurants,small_market_local_dominance,https://www.tastingtable.com/2104711/best-restaurants-bend-oregon/,Chef Joe Kim is a two-time James Beard nominee for creative Asian fusion,2026-06-16
Bosa,Bend,OR,,restaurants,small_market_local_dominance,https://www.bosabend.com/,Chef-owned Italian and French restaurant with housemade pasta; reservations are hard to get,2026-06-16
Dear Irene,Bend,OR,,restaurants,small_market_local_dominance,https://epicbend.com/best-restaurants-in-bend-oregon/,"Chef Jonny Becklund's fixed-menu seasonal Northwest fine dining, a top Bend restaurant",2026-06-16
Rancher Butcher Chef,Bend,OR,,restaurants,small_market_local_dominance,https://www.rbcbend.com/,Restaurant of the Year dry-aged steakhouse and butcher counter sourcing from family ranches,2026-06-16
Celilo Restaurant & Bar,Hood River,OR,,restaurants,small_market_local_dominance,https://oregonessential.com/best-restaurants-hood-river-oregon/,"Widely considered Hood River's best, upscale farm-to-table with constantly changing local menu",2026-06-16
Sixth Street Bistro,Hood River,OR,,restaurants,small_market_local_dominance,https://www.winecountry.com/inspirations/guides/best-restaurants-hood-river/,Hood River staple and one of Oregon's first sustainable restaurants featuring local ingredients,2026-06-16
The Kitchen at Abeja,Walla Walla,WA,,restaurants,small_market_local_dominance,https://www.seattlemet.com/eat-and-drink/best-restaurants-walla-walla-washington,James Beard nominee Chef Mike Easton leads multi-course prix-fixe Tuscan-inspired wine-country dining,2026-06-16
Saffron Mediterranean Kitchen,Walla Walla,WA,,restaurants,small_market_local_dominance,https://www.seattlemet.com/eat-and-drink/best-restaurants-walla-walla-washington,"Elder statesman of Walla Walla dining since 2007, Mediterranean with housemade pastas and steaks",2026-06-16
Brasserie Four,Walla Walla,WA,,restaurants,small_market_local_dominance,https://www.theinfatuation.com/seattle/reviews/brasserie-four,"Upscale French fare with legendary steak frites and fresh oysters, Infatuation-reviewed",2026-06-16
Hattaway's on Alder,Walla Walla,WA,,restaurants,small_market_local_dominance,https://www.emeraldpalate.com/best-restaurants-in-walla-walla/,Upscale Southern restaurant with seasonal menu built on Pacific Northwest farm ingredients,2026-06-16
Passatempo Taverna,Walla Walla,WA,,restaurants,small_market_local_dominance,https://www.theinfatuation.com/seattle/guides/best-restaurants-walla-walla,Downtown Italian gem with handmade pastas and a commitment to local farms,2026-06-16
Carta,Leavenworth,WA,,restaurants,small_market_local_dominance,https://www.seattlemet.com/travel-and-outdoors/where-to-eat-best-restaurants-in-leavenworth-washington,"Fine dining with a seasonal Pacific Northwest menu, locally sourced seafood and beef",2026-06-16
Old World Chophouse,Leavenworth,WA,,restaurants,small_market_local_dominance,https://roamandthrive.com/best-restaurants-in-leavenworth-washington/,Leavenworth's only steakhouse sourcing premium beef from small family-owned PNW farms,2026-06-16
Mana,Leavenworth,WA,,restaurants,small_market_local_dominance,https://www.seattlemet.com/travel-and-outdoors/where-to-eat-best-restaurants-in-leavenworth-washington,"Seven-course tasting menu of local, organic, wild-foraged ingredients",2026-06-16
The Cooks' House,Traverse City,MI,,restaurants,small_market_local_dominance,https://wgrd.com/the-cooks-house-traverse-city-james-beard-award/,"Intimate 25-seat farm-to-table, only Michigan restaurant to advance as a 2026 James Beard finalist",2026-06-16
Trattoria Stella,Traverse City,MI,,restaurants,small_market_local_dominance,https://stellatc.com/,Chef Myles Anton is a five-time James Beard semifinalist; farm-to-table Italian with housemade pasta,2026-06-16
Amical,Traverse City,MI,,restaurants,small_market_local_dominance,https://www.traversecity.com/sp/foodies/index.html,Downtown European bistro with seasonal themed menus on West Grand Traverse Bay,2026-06-16
Red Ginger,Traverse City,MI,,restaurants,small_market_local_dominance,https://everafterinthewoods.com/must-try-restaurants-in-traverse-city-michigan-worth-the-trip-in-2026/,"Modern Pan-Asian with lacquered Korean short ribs, nigiri and a chef-driven cocktail list",2026-06-16
1911 Restaurant,Petoskey,MI,,restaurants,small_market_local_dominance,https://www.brookwalsh.com/blog/the-ultimate-petoskey-michigan-dining-guide.html,Chef Andy Carlson's seasonal farm-to-table menu at the historic Terrace Inn,2026-06-16
Chandler's,Petoskey,MI,,restaurants,small_market_local_dominance,https://www.awesomemitten.com/petoskey-restaurants/,Progressive American with a daily-changing chef menu and wine cellar in the Gaslight District,2026-06-16
Trixie's,Sister Bay,WI,,restaurants,worth_the_drive,https://doorcountypulse.com/a-new-era-of-dining-in-door/,Companion eatery to Wickman House sourcing regional ingredients with a modern twist,2026-06-16
Wickman House,Fish Creek,WI,,restaurants,worth_the_drive,https://www.timeout.com/chicago/blog/door-countys-wickman-house-is-a-seriously-good-restaurant-101415,Time Out-praised Door County restaurant focused on locally sourced classic dishes,2026-06-16
The Whistling Swan,Fish Creek,WI,,restaurants,worth_the_drive,https://thebestofdoorcounty.com/30-best-restaurants-in-door-county-local-dining-guide/,Historic National Register inn known for creative cuisine in Fish Creek,2026-06-16
Waterfront Restaurant,Sister Bay,WI,,restaurants,worth_the_drive,https://www.epicureantravelerblog.com/where-door-county-locals-eat/,Refined American fine dining with chef-designed seasonal land-and-sea dishes on Green Bay,2026-06-16
Chop,Sister Bay,WI,,restaurants,worth_the_drive,https://ashbrooke.net/door-county-restaurants/,"Upscale steakhouse in Sister Bay, Door County",2026-06-16
Mezzanine,Egg Harbor,WI,,restaurants,worth_the_drive,https://thebestofdoorcounty.com/30-best-restaurants-in-door-county-local-dining-guide/,Innovative restaurant with rooftop patio and elevated locally native food and beverage program,2026-06-16
Barringer's Restaurant,Fish Creek,WI,,restaurants,worth_the_drive,https://www.getawayandstay.com/blog/10IncredibleRestaurantsinDoorCounty,"Stylish dining with steaks, fresh seafood and craft cocktails in Fish Creek",2026-06-16
Edge by Goldmoor Inn,Galena,IL,,restaurants,worth_the_drive,https://edgeofgalena.com/,"Locally sourced, executive-chef-crafted refined dining; #1 rated Galena restaurant",2026-06-16
Goldmoor Inn Dining,Galena,IL,,restaurants,worth_the_drive,https://www.goldmoor.com/dining-spirits,Top-rated Galena fine dining with house-made stocks and sauces; national date-night honors,2026-06-16
Fried Green Tomatoes,Galena,IL,,restaurants,worth_the_drive,https://www.opentable.com/neighborhood/il/galena-restaurants,Old World Italian fine dining with diverse wine cellar; Tripadvisor top-10 US date-night restaurant,2026-06-16
Brazen Open Kitchen + Bar,Galena,IL,,restaurants,worth_the_drive,https://www.visitgalena.org/food-drink/,"James Beard-nominated, Top Chef alum-led restaurant in Galena",2026-06-16
Rÿn,Bentonville,AR,,restaurants,small_market_local_dominance,https://www.theinfatuation.com/bentonville/guides/best-restaurants-bentonville,10-course chef-driven tasting menu with $95 wine pairing from the owners of Conifer,2026-06-16
Eleven at Crystal Bridges,Bentonville,AR,,restaurants,small_market_local_dominance,https://www.theinfatuation.com/bentonville/guides/best-restaurants-bentonville,Chef Tim Ordway leads a five-course tasting of regionally inspired cuisine at Crystal Bridges,2026-06-16
The Hive,Bentonville,AR,,restaurants,small_market_local_dominance,https://everafterinthewoods.com/top-restaurants-in-bentonville-arkansas-worth-the-trip-in-2026/,Chef-driven Arkansas country cuisine with local sourcing at 21c Museum Hotel,2026-06-16
The Preacher's Son,Bentonville,AR,,restaurants,small_market_local_dominance,https://www.theinfatuation.com/bentonville/guides/best-restaurants-bentonville,Chef Matt Cooper's farm-to-fork menu in a restored Gothic Revival church,2026-06-16
Tavola Trattoria,Bentonville,AR,,restaurants,small_market_local_dominance,https://www.yelp.com/biz/tavola-trattoria-bentonville,Chef-driven Italian trattoria with hand-rolled gnocchi and seasonal sauces,2026-06-16
Le Stick Nouveau,Eureka Springs,AR,,restaurants,worth_the_drive,https://www.lestick.com/eurekaspringslestickblog/,French-inspired chef-driven multi-course tasting menus; ranked top US date-night restaurant,2026-06-16
Local Flavor Cafe,Eureka Springs,AR,,restaurants,worth_the_drive,https://nwatravelguide.com/top-10-best-eureka-springs-restaurants/,Chef-owned with a regularly changing seasonal menu in downtown Eureka Springs,2026-06-16
Grotto Wood-Fired Grill,Eureka Springs,AR,,restaurants,worth_the_drive,https://arkansashotsprings.org/15-must-try-restaurants-in-eureka-springs/,Wood-fired dishes and extensive wine selection in a cave-like setting,2026-06-16
