city_rank,city,state,neighborhood,notes
1,New York,NY,Astoria,"Queens hub of Greek and global independent restaurants, beer gardens, ethnic bakeries, butchers, and specialty grocers along Ditmars and 30th Avenue."
1,New York,NY,Bushwick,"Gentrifying warehouse pocket of adventurous chef-owned restaurants, breweries, natural-wine bars, and bakeries drawing serious food crowds."
1,New York,NY,Carroll Gardens / Cobble Hill,"Brownstone Brooklyn dining stretch on Smith and Court Streets with destination restaurants, salumerias, Italian butchers, cheesemongers, and bakeries."
1,New York,NY,Chinatown,"Dense Manhattan enclave of authentic independent restaurants, dim-sum parlors, Chinese bakeries, butchers, and specialty grocers."
1,New York,NY,Crown Heights / Prospect Heights,"Rapidly gentrifying Franklin and Vanderbilt Avenue strips with indie restaurants, wine bars, Caribbean grocers, bakeries, and cheesemongers."
1,New York,NY,East Village,"Sprawl of indie restaurants, natural-wine bars, dive and craft cocktail bars, and specialty grocers spanning cuisines from izakaya to regional Italian."
1,New York,NY,Flushing,"Premier authentic Chinese and pan-Asian dining destination with countless independent restaurants, bakeries, and Asian specialty grocers."
1,New York,NY,Fort Greene / Clinton Hill,"Vibrant DeKalb and Myrtle Avenue scene of independent restaurants, wine bars, bakeries, and specialty grocers anchoring a fast-rising food district."
1,New York,NY,Greenpoint,"Up-and-coming corridor of buzzy independent restaurants, wine bars, Polish bakeries and butchers, and specialty grocers along Franklin and Manhattan Avenues."
1,New York,NY,Harlem,"Resurgent dining scene of soul-food and pan-African independent restaurants, cocktail bars, bakeries, and specialty grocers along Frederick Douglass and Lenox."
1,New York,NY,Lower East Side,"Trendy mix of inventive restaurants, dimly-lit cocktail and natural-wine bars, appetizing/specialty grocers, and old-school bakeries."
1,New York,NY,Nolita / SoHo,"Stylish cluster of trend-setting independent restaurants, cafes, wine bars, and gourmet specialty grocers along Mott, Mulberry, and Elizabeth Streets."
1,New York,NY,Park Slope,"Family-dense Fifth Avenue corridor of independent restaurants, cheesemongers, butchers, wine shops, and bakeries with strong neighborhood loyalty."
1,New York,NY,West Village,"Dense cluster of acclaimed independent restaurants, intimate wine bars, classic butchers and cheesemongers, and bakeries along Bleecker and Hudson Streets."
1,New York,NY,Williamsburg,"Brooklyn epicenter of chef-driven restaurants, third-wave coffee, craft breweries, natural-wine shops, artisan bakeries, and whole-animal butchers."
