name,city,state,website,vertical,source_strategy,source_url,evidence,date_added
Grist Milling & Bakery,Missoula,MT,https://abundantmontana.com/amt-lister/grist-milling-bakery/,bakeries,state_sweep_best_of,https://abundantmontana.com/amt-lister/grist-milling-bakery/,"Naturally leavened sourdough using 100% organic Montana grain milled in-house on a Vermont granite stone mill",2026-06-16
Flathead Bread,Kalispell,MT,https://www.flatheadbread.com/,bakeries,language_lane_fresh_milled,https://www.flatheadbread.com/,"Organic artisan sourdough, long-fermented, milling its own whole wheat in house from organically grown wheat berries",2026-06-16
Lincoln Street Bakery,Lander,WY,,bakeries,language_lane_fresh_milled,https://www.onlyinyourstate.com/food/wyoming/artisan-creations-food-wy,"2021 storefront seeking locally grown fresh-milled grains and wild natural yeast; long-fermentation sourdough baguettes and ancient-grain loaves",2026-06-16
Persephone Bakery,Jackson,WY,https://persephonebakery.com/,bakeries,state_sweep_best_of,https://www.travelmag.com/best-bakery-in-wyoming-and-the-reason-there-is-a-line-wrapping-around-the-block-every-single-saturday-morning/,"2020 James Beard semifinalist named best bakery in Wyoming; old-world fermentation, Pain au Levain and baguettes, line around the block",2026-06-16
Alibi Wood Fire,Laramie,WY,https://alibiwoodfire.com/bread/,bakeries,language_lane_wood_fired,https://alibiwoodfire.com/bread/,"Bakery specializing in naturally leavened breads with organic ingredients baked in a wood-fire oven",2026-06-16
The Windy Kitchen,Cheyenne,WY,https://www.thewindykitchenincheyenne.com/,bakeries,state_sweep_best_of,https://www.thewindykitchenincheyenne.com/,"Artisan sourdough bakery offering fresh sourdough, bagels and handcrafted breads baked in Cheyenne",2026-06-16
Brick Oven Bakery,Bismarck,ND,,bakeries,state_sweep_best_of,https://familyvacationsus.com/bakeries-in-north-dakota-worth-waking-up-early-for/,"Bismarck bakery offering naturally leavened sourdoughs and pastries in the French tradition",2026-06-16
Bread Poets Baking Company,Bismarck,ND,,bakeries,state_sweep_best_of,https://familyvacationsus.com/bakeries-in-north-dakota-worth-waking-up-early-for/,"Artisan bread-making bakery in Bismarck known for its sourdoughs",2026-06-16
Sweet Home Sourdough,Sioux Falls,SD,https://sweethomesourdough.com/,bakeries,state_sweep_best_of,https://sweethomesourdough.com/,"Sioux Falls artisanal sourdough bakery making naturally fermented, preservative-free bread by traditional methods",2026-06-16
Le Quartier Bakery & Café,Lincoln,NE,https://lequartierbakingco.com/,bakeries,state_sweep_best_of,https://lequartierbakingco.com/bread/,"Neighborhood bakery specializing in artisan sourdough and croissants, handcrafted in Lincoln and Omaha; reviewers call its sourdough and baguettes the best bread in town",2026-06-16
Phoenix Bread,Kansas City,MO,,bakeries,language_lane_naturally_leavened,https://heavenlydelightsbakery.com/bakery-near-me/phoenix-bread/,"Small-scale artisan bakery using organic flours, wild yeasts and old-world techniques, focusing almost exclusively on naturally leavened stone-hearth-baked bread",2026-06-16
Jonny Bakes,Kansas City,MO,https://www.jonnybakeskc.com/,bakeries,language_lane_fresh_milled,https://www.jonnybakeskc.com/,"Artisan organic naturally leavened bread made with freshly milled locally sourced organic grains, water and salt",2026-06-16
Prairie Thunder Baking Company,Oklahoma City,OK,http://www.prairiethunderbaking.com/,bakeries,state_sweep_best_of,https://www.405magazine.com/fresh-sourdough-in-okc/,"Preeminent artisan bakery in Oklahoma City since 2008, everything fresh from scratch using old-world techniques",2026-06-16
Big Heart Bread,Rogers,AR,https://bigheartbread.com/,bakeries,language_lane_naturally_leavened,https://bigheartbread.com/,"NW Arkansas artisan bakery specializing in naturally fermented sourdough breads baked in small batches with a crust that crackles",2026-06-16
