name,city,state,website,vertical,source_strategy,source_url,evidence,date_added
A Cut Above Butcher Shop,Santa Monica,CA,,butchers,best_of_city_list,https://peopleschoicebeefjerky.com/blogs/news/butcher-shops-los-angeles,"Whole-animal butcher with in-house dry aging; owner/head butcher Eddie Shin sources Snake River Farms, Marcho Farms and Novy Ranches.",2026-06-12
Fatted Calf,Napa,CA,,butchers,press_awards_recent_momentum,https://tvwbb.com/threads/food-wine-the-best-butcher-shops-and-meat-markets-in-america.84772/,Named to Food & Wine's list of the best butcher shops and meat markets in America; artisan charcuterie maker.,2026-06-12
Guerra Quality Meats,San Francisco,CA,,butchers,press_awards_recent_momentum,https://tvwbb.com/threads/food-wine-the-best-butcher-shops-and-meat-markets-in-america.84772/,Named to Food & Wine's best butcher shops and meat markets in America list.,2026-06-12
Huntington Meats,Los Angeles,CA,,butchers,best_of_city_list,https://peopleschoicebeefjerky.com/blogs/news/butcher-shops-los-angeles,Original Farmers Market butcher since 1986 with 21-day aged beef and specialty sausages; also on Food & Wine's national best list.,2026-06-12
The Local Butcher Shop,Berkeley,CA,,butchers,existing_club_transition,https://www.kqed.org/bayareabites/100150/bay-area-bites-guide-to-12-great-butcher-shops,"Sources pasture-raised whole animals and sells whole-animal shares cut to order; founded by Chez Panisse alum, butchers are trained chefs.",2026-06-12
Luis' Butcher Shop,Downey,CA,,butchers,press_awards_recent_momentum,https://tvwbb.com/threads/food-wine-the-best-butcher-shops-and-meat-markets-in-america.84772/,Named to Food & Wine's best butcher shops and meat markets in America list.,2026-06-12
Olivier's Butchery,San Francisco,CA,,butchers,press_awards_recent_momentum,https://tvwbb.com/threads/food-wine-the-best-butcher-shops-and-meat-markets-in-america.84772/,French-style butchery named to Food & Wine's best butcher shops in America list and current SF best-butcher rankings.,2026-06-12
Rabbi's Daughter,Los Angeles,CA,,butchers,press_awards_recent_momentum,https://tvwbb.com/threads/food-wine-the-best-butcher-shops-and-meat-markets-in-america.84772/,Kosher butcher shop named to Food & Wine's best butcher shops and meat markets in America list.,2026-06-12
Sepulveda Meats & Provisions,San Diego,CA,,butchers,press_awards_recent_momentum,https://sayheysandiego.com/best-butcher-in-san-diego,Named to Food & Wine's national best butcher list and consistently ranked among San Diego's best meat shops as of 2026.,2026-06-12
Taylor's Market,Sacramento,CA,,butchers,press_awards_recent_momentum,https://sacramentosecrets.com/best-butcher-in-sacramento,Food & Wine national best-butcher list pick and official headquarters of Team USA for the World Butchers' Challenge.,2026-06-12
Gwen Butcher Shop,Los Angeles,CA,,butchers,best_of_city_list,https://www.themanual.com/food-and-drink/best-butcher-shops-in-america/,"Chef Curtis Stone's shop; staff specializes in whole-animal butchery, dry-aging program, house charcuterie including 'nduja and salami.",2026-06-12
Legacy Boucherie,Glendale,CA,https://legacyboucherie.com/,butchers,best_of_city_list,https://www.timeout.com/los-angeles/shopping/the-best-butcher-shops-in-los-angeles,"Luxury butcher offering wagyu, dry-aged steaks and chef-prepared meals; featured in LA best-butcher roundups.",2026-06-12
Standing's Butchery,Los Angeles,CA,https://standingsbutchery.com/,butchers,events_programming,https://coursehorse.com/los-angeles/classes/cooking/cooking-techniques/butchery,"Butcher Jered Standing leads whole-side heritage hog butchery classes; shop emphasizes ethically raised, grass-fed California beef.",2026-06-12
Marconda's Meats,Los Angeles,CA,,butchers,best_of_city_list,https://www.timeout.com/los-angeles/shopping/the-best-butcher-shops-in-los-angeles,Three-generation family butcher at the Original Farmers Market since 1941; Time Out LA best butcher shops pick.,2026-06-12
McCall's Meat & Fish Co.,Los Angeles,CA,https://www.mccallsmeatandfish.com/,butchers,best_of_city_list,https://www.laweekly.com/mccalls-meat-fish-co-the-arrival-of-the-rock-star-butcher/,"Family-owned 'rock star butcher' (LA Weekly) selling grass-fed, sustainably raised beef and local farm produce; two LA-area shops.",2026-06-12
Avedano's Holly Park Market,San Francisco,CA,,butchers,best_of_city_list,https://www.kqed.org/bayareabites/100150/bay-area-bites-guide-to-12-great-butcher-shops,"Works with whole animals delivered weekly from small pasture-based farms; sells meat boxes, pastrami, pates and sausages.",2026-06-12
Marin Sun Farms Butcher Shop,Oakland,CA,https://rockridgemarkethall.com/marin-sun-farms,butchers,best_of_city_list,https://rockridgemarkethall.com/marin-sun-farms,Butcher shop at Rockridge Market Hall from the farm that runs the Bay Area's last USDA-inspected slaughterhouse; certified organic and AWA.,2026-06-12
Clove & Hoof,Oakland,CA,https://cloveandhoofoakland.com/home-2/butcher-800/,butchers,best_of_city_list,https://www.kqed.org/bayareabites/90972/clove-and-hoof-a-new-butcher-and-sandwich-shop-in-oaklands-temescal,"Neighborhood butchery and restaurant dedicated to whole animals raised responsibly; in-house sausage and charcuterie, grass-fed Jenner Family Beef.",2026-06-12
Baron's Quality Meats & Seafood,Alameda,CA,,butchers,best_of_city_list,https://www.oaklandmagazine.com/top-5-best-butcher-shops-in-oakland-and-the-east-bay-in-2021/,Named one of Oakland Magazine's top 5 butcher shops in Oakland and the East Bay.,2026-06-12
Sonoma County Meat Co.,Santa Rosa,CA,https://sonomacountymeatco.com/,butchers,existing_club_transition,https://sonomacountymeatco.com/,Traditional butcher shop specializing in sustainable meat with online ordering for farmers-market pickup; billed as Sonoma County's best butcher shop.,2026-06-12
Coffland Craft Butchery,Sacramento,CA,https://www.cofflandcraftbutchery.com/,butchers,best_of_city_list,https://sactoday.6amcity.com/local-butchers-making-sacramento-cut-above-the-rest,Formally trained Sacramento-born butcher specializing in whole-animal butchery from happy healthy animals raised by local farmers.,2026-06-12
V. Miller Meats,Sacramento,CA,,butchers,best_of_city_list,https://sacramentorevealed.com/goods-and-services/v-miller-meats-whole-animal-butcher-shop/,"Whole-animal butcher shop; former chef-owner Eric Miller trained under a master butcher, all animals pasture-raised on local farms.",2026-06-12
The Wise Ox Butcher & Eatery,San Diego,CA,,butchers,existing_club_transition,https://sandiegomagazine.com/food-drink/butcher-shops-in-san-diego/,Chef Brad Wise's butcher shop sells the Ox Box monthly meat subscription (~10 lbs premium proteins) and runs heritage-pig breakdown classes.,2026-06-12
Siesel's Old Fashioned Meats,San Diego,CA,https://www.bestmeatssandiego.com/,butchers,best_of_city_list,https://sayheysandiego.com/best-butcher-in-san-diego,San Diego institution since 1968 catering to home-cooking enthusiasts and local foodies.,2026-06-12
Front Row Meats Butchery,San Diego,CA,,butchers,best_of_city_list,https://sayheysandiego.com/best-butcher-in-san-diego,Best-of-San-Diego butcher pick noted for top-notch locally sourced meats.,2026-06-12
Shalhoob Butcher Shop,Santa Barbara,CA,https://shalhoob.com/butcher-shop,butchers,best_of_city_list,https://shalhoob.com/butcher-shop,"Funk Zone butcher shop preparing custom cuts of beef, pork, lamb and poultry with custom cutting and packaging services.",2026-06-12
Sinton & Sons,San Luis Obispo,CA,https://sintonandsons.com/shops,butchers,best_of_city_list,https://sintonandsons.com/shops,"Works directly with Central Coast ranchers for pasture-raised beef, pork and chicken; carries whole-animal cuts like liver, heart and tongue.",2026-06-12
Brazeau's Butcher Shop,North Adams,MA,,butchers,small_market_local_dominance,https://www.boston.com/food/restaurants/2020/11/23/food-and-wine-best-butcher-shops/,Small-town Berkshires shop named to Food & Wine's best butcher shops in America list.,2026-06-12
Savenor's Market,Boston,MA,,butchers,best_of_city_list,https://www.boston.com/food/restaurants/2020/11/23/food-and-wine-best-butcher-shops/,Historic Boston butcher (Julia Child's butcher) on Food & Wine's national list; whole-animal butchery at its Cambridge location.,2026-06-12
Hettie Belle Farm,Warwick,MA,https://www.hettiebellefarm.com/meat-shares-1,butchers,existing_club_transition,https://www.hettiebellefarm.com/meat-shares-1,Runs a meat & poultry CSA with $700 winter shares over 5 monthly pickups across MA NH and VT.,2026-06-12
Copicut Farms,Dartmouth,MA,https://www.copicutfarms.com/pages/farm-share,butchers,existing_club_transition,https://www.copicutfarms.com/pages/farm-share,"Farm share program for pasture-raised pork, poultry and eggs; farm with retail share program (noted: farm, not standalone shop).",2026-06-12
